FedEx Ground Standard List Rates,,,,,,,,,,,,,,,,,,
"Effective January 2, 2006",,,,,,,,,,,,,,,,,,

Weight,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,To Hawaii,To Puerto Rico,Intra Oahu,To Alaska,To Canada,To Canada,From Hawaii,From Hawaii,Intra Alaska,Alaska to US,Alaska to US
,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,Zone 10,Zone 14,Zone 17,Zone 51,Zone 54,Zone 92,Zone 96,Zone 22,Zone 23,Zone 25
66,$12.06 ,$15.06 ,$17.56 ,$21.50 ,$26.91 ,$32.39 ,$38.79 ,$120.59 ,$120.59 ,$9.01 ,$120.59 ,$50.15 ,$68.95 ,$57.99 ,$66.87 ,$12.06 ,$57.99 ,$66.87 
67,$12.16 ,$15.17 ,$17.69 ,$21.63 ,$27.10 ,$32.57 ,$39.05 ,$122.42 ,$122.42 ,$9.15 ,$122.42 ,$50.95 ,$70.25 ,$58.44 ,$67.42 ,$12.16 ,$58.44 ,$67.42 
68,$12.24 ,$15.29 ,$17.80 ,$21.77 ,$27.25 ,$32.76 ,$39.29 ,$124.17 ,$124.17 ,$9.27 ,$124.17 ,$50.95 ,$70.25 ,$58.85 ,$67.98 ,$12.24 ,$58.85 ,$67.98 
69,$12.34 ,$15.40 ,$17.92 ,$21.92 ,$27.42 ,$32.94 ,$39.55 ,$125.99 ,$125.99 ,$9.39 ,$125.99 ,$51.70 ,$71.50 ,$59.30 ,$68.52 ,$12.33 ,$59.30 ,$68.52 
70,$12.42 ,$15.50 ,$18.04 ,$22.06 ,$27.58 ,$33.12 ,$39.79 ,$127.82 ,$127.82 ,$9.55 ,$127.82 ,$51.70 ,$71.50 ,$59.74 ,$69.08 ,$12.43 ,$59.74 ,$69.08 
71,$17.91 ,$20.16 ,$22.46 ,$24.65 ,$29.80 ,$34.84 ,$41.24 ,$130.02 ,$130.02 ,$15.02 ,$130.02 ,$52.50 ,$72.70 ,$60.17 ,$69.62 ,$17.91 ,$60.17 ,$69.62 
72,$22.65 ,$24.79 ,$26.83 ,$27.74 ,$31.96 ,$36.69 ,$42.46 ,$132.21 ,$132.21 ,$18.76 ,$132.21 ,$52.50 ,$72.70 ,$60.61 ,$70.18 ,$22.64 ,$60.61 ,$70.18 
73,$26.64 ,$28.66 ,$30.55 ,$30.82 ,$34.08 ,$38.56 ,$43.38 ,$134.41 ,$134.41 ,$22.53 ,$134.41 ,$53.25 ,$74.25 ,$61.04 ,$70.73 ,$26.64 ,$61.04 ,$70.73 
74,$29.40 ,$31.52 ,$33.37 ,$33.91 ,$36.13 ,$40.10 ,$44.21 ,$136.15 ,$136.15 ,$26.29 ,$136.15 ,$53.25 ,$74.25 ,$61.55 ,$71.28 ,$29.39 ,$61.55 ,$71.28 
75,$30.90 ,$33.02 ,$35.23 ,$35.76 ,$38.05 ,$41.33 ,$44.92 ,$137.71 ,$137.71 ,$27.53 ,$137.71 ,$54.00 ,$75.75 ,$62.10 ,$71.84 ,$30.89 ,$62.10 ,$71.84 
76,$32.39 ,$34.25 ,$36.15 ,$36.93 ,$39.64 ,$42.25 ,$45.53 ,$139.25 ,$139.25 ,$28.78 ,$139.25 ,$54.00 ,$75.75 ,$62.68 ,$72.39 ,$32.39 ,$62.68 ,$72.39 
77,$33.68 ,$35.38 ,$36.97 ,$37.91 ,$40.90 ,$42.87 ,$46.04 ,$140.81 ,$140.81 ,$29.41 ,$140.81 ,$54.80 ,$77.40 ,$63.22 ,$72.95 ,$33.67 ,$63.22 ,$72.95 
78,$34.77 ,$36.44 ,$37.73 ,$38.74 ,$41.83 ,$43.43 ,$46.54 ,$142.47 ,$142.47 ,$30.02 ,$142.47 ,$54.80 ,$77.40 ,$63.85 ,$73.49 ,$34.76 ,$63.85 ,$73.49 
79,$35.66 ,$37.49 ,$38.42 ,$39.42 ,$42.46 ,$44.00 ,$47.03 ,$144.01 ,$144.01 ,$30.65 ,$144.01 ,$55.45 ,$79.15 ,$64.48 ,$74.05 ,$35.66 ,$64.48 ,$74.05 
80,$36.38 ,$38.55 ,$39.03 ,$39.95 ,$42.95 ,$44.49 ,$47.53 ,$145.66 ,$145.66 ,$31.28 ,$145.66 ,$55.45 ,$79.15 ,$65.08 ,$74.60 ,$36.39 ,$65.08 ,$74.60 
81,$37.05 ,$39.10 ,$39.59 ,$40.45 ,$43.46 ,$44.98 ,$48.02 ,$147.31 ,$147.31 ,$31.93 ,$147.31 ,$56.10 ,$81.00 ,$65.72 ,$75.16 ,$37.04 ,$65.72 ,$75.16 
82,$37.67 ,$39.66 ,$40.14 ,$40.95 ,$43.95 ,$45.48 ,$48.50 ,$149.06 ,$149.06 ,$32.54 ,$149.06 ,$56.10 ,$81.00 ,$66.27 ,$75.71 ,$37.66 ,$66.27 ,$75.71 
83,$38.23 ,$40.19 ,$40.68 ,$41.44 ,$44.44 ,$45.98 ,$48.99 ,$150.70 ,$150.70 ,$33.16 ,$150.70 ,$56.80 ,$82.95 ,$66.84 ,$76.27 ,$38.24 ,$66.84 ,$76.27 
84,$38.74 ,$40.73 ,$41.21 ,$41.94 ,$44.94 ,$46.47 ,$49.47 ,$152.43 ,$152.43 ,$33.79 ,$152.43 ,$56.80 ,$82.95 ,$67.41 ,$76.81 ,$38.73 ,$67.41 ,$76.81 
85,$39.24 ,$41.24 ,$41.72 ,$42.44 ,$45.44 ,$46.97 ,$49.96 ,$154.17 ,$154.17 ,$34.40 ,$154.17 ,$57.40 ,$84.85 ,$67.97 ,$77.38 ,$39.23 ,$67.97 ,$77.38 
86,$39.74 ,$41.74 ,$42.24 ,$42.92 ,$45.94 ,$47.47 ,$50.45 ,$155.82 ,$155.82 ,$34.79 ,$155.82 ,$57.40 ,$84.85 ,$68.59 ,$77.91 ,$39.73 ,$68.59 ,$77.91 
87,$40.23 ,$42.25 ,$42.75 ,$43.41 ,$46.43 ,$47.96 ,$50.93 ,$157.56 ,$157.56 ,$35.17 ,$157.56 ,$58.10 ,$86.75 ,$69.20 ,$78.48 ,$40.23 ,$69.20 ,$78.48 
88,$40.74 ,$42.75 ,$43.25 ,$43.89 ,$46.93 ,$48.45 ,$51.43 ,$159.30 ,$159.30 ,$35.56 ,$159.30 ,$58.10 ,$86.75 ,$69.82 ,$79.01 ,$40.73 ,$69.82 ,$79.01 
89,$41.24 ,$43.25 ,$43.74 ,$44.38 ,$47.43 ,$48.95 ,$51.93 ,$160.95 ,$160.95 ,$35.96 ,$160.95 ,$58.80 ,$88.70 ,$70.39 ,$79.57 ,$41.24 ,$70.39 ,$79.57 
90,$41.74 ,$43.74 ,$44.25 ,$44.87 ,$47.91 ,$49.45 ,$52.41 ,$162.59 ,$162.59 ,$36.34 ,$162.59 ,$58.80 ,$88.70 ,$70.95 ,$80.12 ,$41.74 ,$70.95 ,$80.12 
91,$42.25 ,$44.25 ,$44.73 ,$45.37 ,$48.40 ,$49.95 ,$52.91 ,$164.33 ,$164.33 ,$36.74 ,$164.33 ,$59.40 ,$90.65 ,$71.51 ,$80.68 ,$42.25 ,$71.51 ,$80.68 
92,$42.75 ,$44.74 ,$45.22 ,$45.86 ,$48.88 ,$50.45 ,$53.41 ,$165.89 ,$165.89 ,$37.12 ,$165.89 ,$59.40 ,$90.65 ,$72.07 ,$81.24 ,$42.74 ,$72.07 ,$81.24 
93,$43.25 ,$45.25 ,$45.70 ,$46.36 ,$49.37 ,$50.94 ,$53.90 ,$167.53 ,$167.53 ,$37.51 ,$167.53 ,$60.15 ,$92.60 ,$72.64 ,$81.79 ,$43.24 ,$72.64 ,$81.79 
94,$43.73 ,$45.75 ,$46.17 ,$46.86 ,$49.86 ,$51.43 ,$54.40 ,$169.09 ,$169.09 ,$37.90 ,$169.09 ,$60.15 ,$92.60 ,$73.20 ,$82.34 ,$43.73 ,$73.20 ,$82.34 
